id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,fcf_to_debt,financial_quality_score,health_score,rating
1184,INDIGO,2024,11.85,16331.0,892.57,0.0186,22.6126,56.3863,9424.0,11759.0,212.0,1.9062,0.0,17,21183.0,554.3529411764706,5,100,Excellent
1176,INDIGO,2016,12.3,3164.0,1534.78,0.0618,25.235,82.3469,1779.0,1337.0,55.0,32.35,27.0,8,3116.0,222.375,5,100,Excellent
1136,TRENT,2024,11.94,16.0,36.31,0.4309,8.0435,1.7279,841.0,508.0,42.0,11.3,8.0,1753,1349.0,0.479749001711352,5,100,Excellent
1095,TECHM,2022,12.61,18.0,20.94,0.0974,56.0429,1.0052,5765.0,480.0,57.0,6.1244,47.0,2618,5285.0,2.2020626432391137,5,100,Excellent
1090,TECHM,2019,12.35,18.0,21.14,0.0984,51.1654,1.0387,2328.0,2104.0,44.0,4.5687,29.0,1996,4432.0,1.1663326653306614,5,100,Excellent
1089,TECHM,2019,12.35,18.0,21.14,0.0984,51.1654,1.0387,2328.0,2104.0,44.0,4.5687,29.0,1996,4432.0,1.1663326653306614,5,100,Excellent
1088,TECHM,2018,12.3,15.0,20.09,0.1272,37.821,1.0112,235.0,3319.0,39.0,4.2631,33.0,2397,3554.0,0.0980392156862745,5,100,Excellent
1087,TECHM,2018,12.3,15.0,20.09,0.1272,37.821,1.0112,235.0,3319.0,39.0,4.2631,33.0,2397,3554.0,0.0980392156862745,5,100,Excellent
1084,TECHM,2016,11.43,16.0,20.75,0.0748,48.5876,1.1762,1684.0,1453.0,31.0,3.3466,35.0,1091,3137.0,1.5435380384967918,5,100,Excellent
1083,TECHM,2016,11.43,16.0,20.75,0.0748,48.5876,1.1762,1684.0,1453.0,31.0,3.3466,35.0,1091,3137.0,1.5435380384967918,5,100,Excellent
